--2023-05-16 21:27:09--  https://hal-insu.archives-ouvertes.fr/insu-01494363/document
Resolving hal-insu.archives-ouvertes.fr (hal-insu.archives-ouvertes.fr)... 193.48.96.10
Connecting to hal-insu.archives-ouvertes.fr (hal-insu.archives-ouvertes.fr)|193.48.96.10|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 103814165 (99M) [application/pdf]
Saving to: ‘./data/0.sdu/1494363.pdf’

 10000K .......... .......... .......... .......... ..........  9%  482M 88s
 10050K .......... .......... .......... .......... ..........  9%  528M 88s
 10100K .......... .......... .......... .......... .......... 10%  246K 89s
 10150K .......... .......... .......... .......... .......... 10%  569M 88s
 10200K .......... .......... .......... .......... .......... 10%  545M 88s
 10250K .......... .......... .......... .......... .......... 10%  518M 88s
 10300K .......... .......... .......... .......... .......... 10%  247K 89s
 10350K .......... .......... .......... .......... .......... 10%  574M 88s
 10400K .......... .......... .......... .......... .......... 10%  493M 88s
 10450K .......... .......... .......... .......... .......... 10%  549M 87s
 10500K .......... .......... .......... .......... .......... 10%  247K 89s
 10550K .......... .......... .......... .......... .......... 10%  518M 88s
 10600K .......... .......... .......... .......... .......... 10%  539M 88s
 10650K .......... .......... .......... .......... .......... 10%  592M 87s
 10700K .......... .......... .......... .......... .......... 10%  246K 89s
 10750K .......... .......... .......... .......... .......... 10%  534M 88s
 10800K .......... .......... .......... .......... .......... 10%  484M 88s
 10850K .......... .......... .......... .......... .......... 10%  596M 87s
 10900K .......... .......... .......... .......... .......... 10%  247K 88s
 10950K .......... .......... .......... .......... .......... 10%  535M 88s
 11000K .......... .......... .......... .......... .......... 10%  552M 88s
 11050K .......... .......... .......... .......... .......... 10%  613M 87s
 11100K .......... .......... .......... .......... .......... 10%  247K 88s
 11150K .......... .......... .......... .......... .......... 11%  413M 88s
 11200K .......... .......... .......... .......... .......... 11%  496M 87s
 11250K .......... .......... .......... .......... .......... 11%  594M 87s
 11300K .......... .......... .......... .......... .......... 11%  350M 87s
 11350K .......... .......... .......... .......... .......... 11%  246K 88s
 11400K .......... .......... .......... .......... .......... 11%  525M 87s
 11450K .......... .......... .......... .......... .......... 11%  602M 87s
 11500K .......... .......... .......... .......... .......... 11%  525M 86s
 11550K .......... .......... .......... .......... .......... 11%  246K 88s
 11600K .......... .......... .......... .......... .......... 11%  462M 87s
 11650K .......... .......... .......... .......... .......... 11%  560M 87s
 11700K .......... .......... .......... .......... .......... 11%  543M 86s
 11750K .......... .......... .......... .......... .......... 11%  247K 87s
 11800K .......... .......... .......... .......... .......... 11%  463M 87s
 11850K .......... .......... .......... .......... .......... 11%  408M 87s
 11900K .......... .......... .......... .......... .......... 11%  607M 86s
 11950K .......... .......... .......... .......... .......... 11%  247K 87s
 12000K .......... .......... .......... .......... .......... 11%  383M 87s
 12050K .......... .......... .......... .......... .......... 11%  605M 87s
 12100K .......... .......... .......... .......... .......... 11%  608M 86s
 12150K .......... .......... .......... .......... .......... 12%  247K 87s
 12200K .......... .......... .......... .......... .......... 12%  485M 87s
 12250K .......... .......... .......... .......... .......... 12%  592M 86s
 12300K .......... .......... .......... .......... .......... 12%  599M 86s
 12350K .......... .......... .......... .......... .......... 12%  247K 87s
 12400K .......... .......... .......... .......... .......... 12%  363M 87s
 12450K .......... .......... .......... .......... .......... 12%  609M 86s
 12500K .......... .......... .......... .......... .......... 12%  605M 86s
 12550K .......... .......... .......... .......... .......... 12%  524M 85s
 12600K .......... .......... .......... .......... .......... 12%  246K 87s
 12650K .......... .......... .......... .......... .......... 12%  582M 86s
 12700K .......... .......... .......... .......... .......... 12%  598M 86s
 12750K .......... .......... .......... .......... .......... 12%  497M 85s
 12800K .......... .......... .......... .......... .......... 12%  247K 86s
 12850K .......... .......... .......... .......... .......... 12%  563M 86s
 12900K .......... .......... .......... .......... .......... 12%  276M 86s
 12950K .......... .......... .......... .......... .......... 12%  539M 85s
 13000K .......... .......... .......... .......... .......... 12%  247K 86s
 13050K .......... .......... .......... .......... .......... 12%  565M 86s
 13100K .......... .......... .......... .......... .......... 12%  603M 85s
 13150K .......... .......... .......... .......... .......... 13%  604M 85s
 13200K .......... .......... .......... .......... .......... 13%  246K 86s
 13250K .......... .......... .......... .......... .......... 13%  592M 86s
 13300K .......... .......... .......... .......... .......... 13%  593M 85s
 13350K .......... .......... .......... .......... .......... 13%  370M 85s
 13400K .......... .......... .......... .......... .......... 13%  247K 86s
 13450K .......... .......... .......... .......... .......... 13%  565M 86s
 13500K .......... .......... .......... .......... .......... 13%  599M 85s
 13550K .......... .......... .......... .......... .......... 13%  591M 85s
 13600K .......... .......... .......... .......... .......... 13%  246K 86s
 13650K .......... .......... .......... .......... .......... 13%  533M 85s
 13700K .......... .......... .......... .......... .......... 13%  602M 85s
 13750K .......... .......... .......... .......... .......... 13%  601M 85s
 13800K .......... .......... .......... .......... .......... 13%  247K 86s
 13850K .......... .......... .......... .......... .......... 13%  431M 85s
 13900K .......... .......... .......... .......... .......... 13%  596M 85s
 13950K .......... .......... .......... .......... .......... 13%  597M 85s
 14000K .......... .......... .......... .......... .......... 13%  439M 84s
 14050K .......... .......... .......... .......... .......... 13%  246K 85s
 14100K .......... .......... .......... .......... .......... 13%  566M 85s
 14150K .......... .......... .......... .......... .......... 14%  592M 84s
 14200K .......... .......... .......... .......... .......... 14%  491M 84s
 14250K .......... .......... .......... .......... .......... 14%  247K 85s
 14300K .......... .......... .......... .......... .......... 14%  559M 85s
 14350K .......... .......... .......... .......... .......... 14%  591M 84s
 14400K .......... .......... .......... .......... .......... 14%  436M 84s
 14450K .......... .......... .......... .......... .......... 14%  247K 85s
 14500K .......... .......... .......... .......... .......... 14%  590M 85s
 14550K .......... .......... .......... .......... .......... 14%  608M 84s
 14600K .......... .......... .......... .......... .......... 14%  544M 84s
 14650K .......... .......... .......... .......... .......... 14%  246K 85s
 14700K .......... .......... .......... .......... .......... 14%  573M 84s
 14750K .......... .......... .......... .......... .......... 14%  596M 84s
 14800K .......... .......... .......... .......... .......... 14%  490M 84s
 14850K .......... .......... .......... .......... .......... 14%  247K 85s
 14900K .......... .......... .......... .......... .......... 14%  522M 84s
 14950K .......... .......... .......... .......... .......... 14%  602M 84s
 15000K .......... .......... .......... .......... .......... 14%  523M 84s
 15050K .......... .......... .......... .......... .......... 14%  247K 84s
 15100K .......... .......... .......... .......... .......... 14%  326M 84s
 15150K .......... .......... .......... .......... .......... 14%  572M 84s
 15200K .......... .......... .......... .......... .......... 15%  483M 83s
 15250K .......... .......... .......... .......... .......... 15%  517M 83s
 15300K .......... .......... .......... .......... .......... 15%  246K 84s
 15350K .......... .......... .......... .......... .......... 15%  513M 84s
 15400K .......... .......... .......... .......... .......... 15%  311M 83s
 15450K .......... .......... .......... .......... .......... 15%  532M 83s
 15500K .......... .......... .......... .......... .......... 15%  247K 84s
 15550K .......... .......... .......... .......... .......... 15%  574M 83s
 15600K .......... .......... .......... .......... .......... 15%  483M 83s
 15650K .......... .......... .......... .......... .......... 15%  518M 83s
 15700K .......... .......... .......... .......... .......... 15%  246K 84s
 15750K .......... .......... .......... .......... .......... 15%  402M 83s
 15800K .......... .......... .......... .......... .......... 15%  551M 83s
 15850K .......... .......... .......... .......... .......... 15%  594M 83s
 15900K .......... .......... .......... .......... .......... 15%  247K 83s
 15950K .......... .......... .......... .......... .......... 15%  561M 83s
 16000K .......... .......... .......... .......... .......... 15%  490M 83s
 16050K .......... .......... .......... .......... .......... 15%  580M 83s
 16100K .......... .......... .......... .......... .......... 15%  247K 83s
 16150K .......... .......... .......... .......... .......... 15%  526M 83s
 16200K .......... .......... .......... .......... .......... 16%  542M 83s
 16250K .......... .......... .......... .......... .......... 16%  599M 82s
 16300K .......... .......... .......... .......... .......... 16%  247K 83s
 16350K .......... .......... .......... .......... .......... 16%  371M 83s
 16400K .......... .......... .......... .......... .......... 16%  483M 83s
 16450K .......... .......... .......... .......... .......... 16%  606M 82s
 16500K .......... .......... .......... .......... .......... 16%  518M 82s
 16550K .......... .......... .......... .......... .......... 16%  246K 83s
 16600K .......... .......... .......... .......... .......... 16%  521M 82s
